VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,02/04/2020 01:09:55 AM,02/04/2020 01:21:54 AM,N,1,244,143,2,5.41,17,0.5,0.5,4,0,,0.3,25.05,1,1,2.75
2,02/04/2020 01:10:02 AM,02/04/2020 11:02:40 PM,N,1,7,179,1,1.03,6,0.5,0.5,1.1,0,,0.3,8.4,1,1,0
1,02/04/2020 01:10:21 AM,02/04/2020 01:21:41 AM,N,1,41,116,1,2.1,10,0.5,0.5,2.25,0,,0.3,13.55,1,1,0
2,02/04/2020 01:10:23 AM,02/04/2020 01:14:03 AM,N,1,41,42,1,0.7,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1,0
2,02/04/2020 01:10:44 AM,02/04/2020 01:20:35 AM,N,1,25,181,3,1.87,9.5,0.5,0.5,3,0,,0.3,13.8,1,1,0
1,02/04/2020 01:10:44 AM,02/04/2020 01:18:57 AM,N,1,129,70,1,2.7,10.5,0.5,0.5,0,0,,0.3,11.8,1,1,0
2,02/04/2020 01:11:37 AM,02/04/2020 01:20:09 AM,N,1,74,42,1,1.53,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
,02/04/2020 01:12:00 AM,02/04/2020 01:31:00 AM,,,61,198,,4.22,22.45,2.75,0,0,0,,0.3,25.5,,,
1,02/04/2020 01:12:04 AM,02/04/2020 01:14:55 AM,N,1,61,61,1,0.5,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,02/04/2020 01:13:24 AM,02/04/2020 01:31:52 AM,N,1,74,79,1,8.01,24.5,0.5,0.5,5.71,0,,0.3,34.26,1,1,2.75
2,02/04/2020 01:13:34 AM,02/04/2020 01:18:13 AM,N,1,129,129,1,0.87,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,02/04/2020 01:14:11 AM,02/04/2020 01:27:06 AM,N,1,181,89,1,2.6,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,0
2,02/04/2020 01:14:16 AM,02/04/2020 01:29:32 AM,N,1,244,142,1,6.36,20,0.5,0.5,4,0,,0.3,28.05,1,1,2.75
2,02/04/2020 01:14:48 AM,02/04/2020 01:15:46 AM,N,1,247,42,1,0.32,3,0.5,0.5,0,0,,0.3,4.3,2,1,0
2,02/04/2020 01:15:18 AM,02/04/2020 01:25:25 AM,N,1,7,226,5,2.22,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,02/04/2020 01:15:31 AM,02/04/2020 01:26:57 AM,N,1,260,7,2,2.12,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,02/04/2020 01:17:11 AM,02/04/2020 01:17:13 AM,N,1,264,264,1,0,2.5,0.5,0.5,0.76,0,,0.3,4.56,1,1,0
2,02/04/2020 01:17:27 AM,02/04/2020 01:24:23 AM,N,1,260,7,2,1.64,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
1,02/04/2020 01:17:37 AM,02/04/2020 01:26:49 AM,N,1,95,130,1,2.5,10,0.5,0.5,2.8,0,,0.3,14.1,1,1,0
2,02/04/2020 01:17:46 AM,02/04/2020 01:30:16 AM,N,1,82,173,1,1.78,10,0.5,0.5,1,0,,0.3,12.3,1,1,0
2,02/04/2020 01:18:13 AM,02/04/2020 01:18:28 AM,N,5,7,7,1,0,7,0,0,0,0,,0.3,7.3,2,2,0
2,02/04/2020 01:18:21 AM,02/04/2020 01:30:53 AM,N,1,129,129,6,2.1,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,0
2,02/04/2020 01:21:05 AM,02/04/2020 01:31:52 AM,N,1,41,74,1,1.88,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,02/04/2020 01:21:14 AM,02/04/2020 01:34:02 AM,N,1,82,223,2,3.66,12.5,0.5,0.5,0,0,,0.3,13.8,2,1,0
,02/04/2020 01:24:00 AM,02/04/2020 01:39:00 AM,,,25,158,,4.36,28.05,2.75,0,0,0,,0.3,31.1,,,
,02/04/2020 01:24:00 AM,02/04/2020 01:39:00 AM,,,179,70,,3.69,21.45,2.75,0,0,0,,0.3,24.5,,,
2,02/04/2020 01:25:57 AM,02/04/2020 01:36:46 AM,N,1,95,56,1,1.96,10,0.5,0.5,2.26,0,,0.3,13.56,1,1,0
1,02/04/2020 01:26:20 AM,02/04/2020 01:31:53 AM,N,1,244,243,1,1.7,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,02/04/2020 01:26:22 AM,02/04/2020 01:29:34 AM,N,1,74,74,1,0.6,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,02/04/2020 01:26:32 AM,02/04/2020 01:34:04 AM,N,1,182,250,1,0.87,6.5,0.5,0.5,2.34,0,,0.3,10.14,1,1,0
2,02/04/2020 01:27:18 AM,02/04/2020 01:34:39 AM,N,1,7,179,1,1.24,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,02/04/2020 01:27:59 AM,02/04/2020 01:44:33 AM,N,1,127,265,1,8.08,24,0.5,0.5,0,0,,0.3,25.3,2,1,0
2,02/04/2020 01:28:19 AM,02/04/2020 01:50:15 AM,N,1,129,53,1,5.37,20,0.5,0.5,0,0,,0.3,21.3,2,1,0
,02/04/2020 01:29:00 AM,02/04/2020 01:54:00 AM,,,185,60,,4.7,22.79,2.75,0,0,0,,0.3,25.84,,,
1,02/04/2020 01:30:23 AM,02/04/2020 01:40:39 AM,N,1,42,168,1,2.1,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,02/04/2020 01:30:57 AM,02/04/2020 01:51:32 AM,N,1,24,186,1,5.68,20,0.5,0.5,2.5,0,,0.3,26.55,1,1,2.75
2,02/04/2020 01:31:08 AM,02/04/2020 01:34:08 AM,N,1,41,74,1,0.44,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,02/04/2020 01:31:12 AM,02/04/2020 01:41:19 AM,N,1,7,193,1,2.29,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,02/04/2020 01:31:13 AM,02/04/2020 01:36:42 AM,N,1,179,179,5,1.05,6,0.5,0.5,1.46,0,,0.3,8.76,1,1,0
2,02/04/2020 01:31:17 AM,02/04/2020 01:37:03 AM,N,1,7,7,1,1.11,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,02/04/2020 01:31:19 AM,02/04/2020 02:26:18 AM,N,1,80,239,1,18.11,54.5,0.5,0.5,14.64,0,,0.3,73.19,1,1,2.75
2,02/04/2020 01:31:24 AM,02/04/2020 01:44:56 AM,N,1,24,75,4,2.04,11,0.5,0.5,0,0,,0.3,12.3,2,1,0
2,02/04/2020 01:31:44 AM,02/04/2020 01:52:47 AM,N,1,166,249,2,6.75,22,0.5,0.5,0,0,,0.3,26.05,1,1,2.75
2,02/04/2020 01:32:10 AM,02/04/2020 01:55:05 AM,N,1,145,127,1,10.83,31.5,0.5,0.5,0,0,,0.3,35.55,2,1,2.75
2,02/04/2020 01:32:21 AM,02/04/2020 01:58:30 AM,N,1,179,68,1,5.8,21.5,0.5,0.5,4.45,0,,0.3,30,1,1,2.75
2,02/04/2020 01:32:23 AM,02/04/2020 01:45:48 AM,N,4,130,265,1,9.73,30.5,0.5,0.5,6.36,0,,0.3,38.16,1,1,0
2,02/04/2020 01:32:32 AM,02/04/2020 01:36:15 AM,N,1,168,168,1,0.74,5,0.5,0.5,1.26,0,,0.3,7.56,1,1,0
2,02/04/2020 01:32:34 AM,02/04/2020 01:37:16 AM,N,1,42,41,1,1.07,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,02/04/2020 01:33:15 AM,02/04/2020 01:41:59 AM,N,1,260,129,1,1.62,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,02/04/2020 01:33:40 AM,02/04/2020 01:36:57 AM,N,1,223,223,1,0.47,4,0.5,0.5,1.06,0,,0.3,6.36,1,1,0
2,02/04/2020 01:33:48 AM,02/04/2020 01:39:38 AM,N,1,129,129,1,0.99,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
